customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00022,Female,1,No,Yes,69,Yes,DSL,One year,Yes,Electronic check,114.18,7978.1,No
C00023,Female,1,Yes,Yes,16,No,DSL,Month-to-month,No,Mailed check,108.76,1747.86,No
C00024,Female,1,Yes,Yes,25,Yes,DSL,Two year,Yes,Mailed check,71.41,1780.54,Yes
C00025,Female,0,Yes,No,20,Yes,DSL,Two year,Yes,Mailed check,72.77,1416.19,No
C00026,Female,1,Yes,Yes,71,Yes,DSL,Month-to-month,No,Mailed check,49.51,3525.36,No
C00027,Female,0,No,Yes,20,Yes,No,Month-to-month,No,Electronic check,64.36,1245.86,No
C00028,Female,0,Yes,No,10,Yes,Fiber optic,Month-to-month,No,Mailed check,90.87,859.75,Yes
C00029,Female,0,No,No,37,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),59.05,2134.47,No
C00030,Male,0,Yes,Yes,71,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),37.17,2627.86,No
C00031,Male,0,Yes,No,34,Yes,DSL,Month-to-month,No,Electronic check,73.17,2462.77,No
C00032,Female,0,Yes,No,13,Yes,DSL,One year,Yes,Credit card (automatic),40.98,665.48,No
C00033,Female,0,No,No,13,No,Fiber optic,Month-to-month,Yes,Mailed check,117.38,1536.41,Yes
C00034,Female,0,No,No,9,Yes,Fiber optic,Month-to-month,No,Mailed check,57.81,529.94,Yes
C00035,Male,0,Yes,Yes,11,Yes,DSL,One year,No,Bank transfer (automatic),110.79,1191.09,Yes
C00036,Female,0,No,No,37,Yes,Fiber optic,One year,No,Electronic check,41.01,1670.64,No
C00037,Male,0,No,Yes,33,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),37.3,1184.7,No
C00038,Male,0,Yes,Yes,40,Yes,DSL,Month-to-month,No,Bank transfer (automatic),80.92,3213.11,No
C00039,Male,0,Yes,Yes,9,Yes,DSL,Two year,No,Credit card (automatic),97.5,927.46,Yes
C00040,Male,0,No,Yes,16,Yes,Fiber optic,One year,No,Electronic check,75.81,1223.08,No
C00041,Male,0,No,No,16,Yes,Fiber optic,One year,No,Electronic check,41.44,599.39,No
C00042,Female,0,No,No,66,Yes,DSL,Month-to-month,Yes,Electronic check,21.87,1444.78,No
C00043,Female,0,Yes,No,61,No,DSL,Month-to-month,Yes,Bank transfer (automatic),81.07,4979.25,No
C00044,Female,1,Yes,Yes,0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,31.37, ,Yes
C00045,Female,0,No,Yes,11,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),53.0,616.06,Yes
C00046,Female,0,Yes,Yes,3,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),86.93,370.07,Yes
C00047,Male,0,Yes,No,41,Yes,Fiber optic,Month-to-month,Yes,Mailed check,28.0,1161.58,Yes
C00048,Female,1,No,Yes,12,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),30.98,411.54,Yes
C00049,Female,0,No,No,3,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),24.29,0.0,Yes
C00050,Male,1,Yes,No,68,Yes,Fiber optic,Month-to-month,Yes,Mailed check,119.6,8226.08,Yes
C00051,Female,0,Yes,No,18,Yes,DSL,Two year,Yes,Credit card (automatic),57.48,1037.89,No
C00052,Male,1,No,No,1,Yes,DSL,One year,Yes,Mailed check,110.39,66.99,Yes
C00053,Female,0,Yes,Yes,11,Yes,Fiber optic,Month-to-month,No,Mailed check,47.95,517.69,No
C00054,Male,1,Yes,No,5,No,DSL,One year,Yes,Electronic check,94.83,507.28,Yes
C00055,Female,0,No,Yes,7,Yes,Fiber optic,One year,No,Electronic check,40.34,334.12,No
C00056,Female,0,No,No,50,Yes,DSL,One year,Yes,Mailed check,68.83,3436.74,No
C00057,Male,0,Yes,Yes,10,Yes,Fiber optic,Month-to-month,No,Electronic check,102.11,1051.17,Yes
C00058,Male,0,Yes,Yes,62,No,DSL,Month-to-month,Yes,Mailed check,101.27,6265.58,Yes
C00059,Male,0,Yes,No,56,Yes,No,Month-to-month,No,Electronic check,99.02,5569.7,No
C00060,Male,1,No,No,11,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),102.02,1132.53,No
C00061,Male,1,Yes,No,72,Yes,DSL,One year,No,Electronic check,39.57,2864.08,No
C00062,Male,0,Yes,Yes,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,67.19,51.64,Yes
C00063,Male,0,No,No,7,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),67.46,492.4,No
C00064,Male,0,No,No,10,Yes,Fiber optic,Month-to-month,Yes,Mailed check,108.83,1046.97,Yes
C00065,Female,0,Yes,Yes,52,No,No,Month-to-month,No,Electronic check,48.28,2520.29,No
C00066,Female,0,No,No,9,Yes,Fiber optic,Two year,No,Electronic check,113.01,985.37,Yes
C00067,Male,0,No,Yes,7,Yes,DSL,Month-to-month,No,Bank transfer (automatic),63.98,398.18,No
C00068,Female,0,Yes,No,35,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),86.32,2985.92,Yes
C00069,Female,0,No,Yes,13,Yes,DSL,Two year,No,Bank transfer (automatic),45.43,580.19,No
C00070,Female,0,No,Yes,53,No,Fiber optic,Month-to-month,No,Credit card (automatic),59.85,3145.63,Yes
C00071,Female,0,Yes,No,20,Yes,Fiber optic,One year,No,Bank transfer (automatic),90.4,1827.81,No
C00072,Male,0,No,Yes,49,Yes,DSL,Month-to-month,No,Mailed check,70.3,3448.68,No
C00073,Female,0,Yes,No,38,Yes,DSL,One year,Yes,Electronic check,112.93,4342.07,Yes
C00074,Male,1,Yes,No,19,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.19,1766.39,Yes
C00075,Female,0,No,Yes,6,Yes,Fiber optic,One year,Yes,Credit card (automatic),75.57,462.45,No
C00076,Female,0,No,No,8,Yes,Fiber optic,Month-to-month,No,Electronic check,108.44,960.82,Yes
C00077,Female,0,No,Yes,0,Yes,DSL,Month-to-month,No,Electronic check,85.89, ,Yes
C00078,Male,0,Yes,Yes,25,Yes,Fiber optic,One year,Yes,Mailed check,84.03,2086.49,No
C00079,Female,1,No,Yes,37,Yes,DSL,Month-to-month,Yes,Electronic check,43.13,1655.98,Yes
C00080,Male,0,Yes,Yes,37,Yes,DSL,One year,No,Mailed check,58.28,2108.52,No
C00081,Female,0,No,Yes,60,Yes,DSL,Month-to-month,No,Credit card (automatic),87.7,5327.77,No
C00082,Male,0,No,Yes,43,Yes,DSL,Month-to-month,Yes,Mailed check,108.96,4673.44,Yes
C00083,Female,1,No,Yes,43,Yes,Fiber optic,One year,No,Bank transfer (automatic),50.19,2116.5,No
C00084,Male,1,Yes,Yes,61,Yes,No,One year,Yes,Bank transfer (automatic),39.98,2484.04,No
C00085,Male,0,No,No,5,Yes,Fiber optic,Two year,No,Credit card (automatic),78.56,380.24,No
C00086,Female,0,No,No,16,Yes,DSL,One year,Yes,Electronic check,24.85,488.81,No
C00087,Male,0,Yes,Yes,50,Yes,Fiber optic,Month-to-month,Yes,Mailed check,90.88,4548.06,Yes
C00088,Female,1,Yes,No,37,Yes,Fiber optic,Two year,No,Bank transfer (automatic),89.72,3323.33,No
C00089,Female,0,No,No,23,Yes,DSL,Month-to-month,Yes,Mailed check,54.21,1217.52,No
C00090,Female,1,No,No,50,Yes,No,Month-to-month,No,Bank transfer (automatic),109.05,5445.16,Yes
C00091,Female,0,No,No,9,Yes,Fiber optic,Month-to-month,No,Mailed check,69.22,609.35,Yes
C00092,Female,0,Yes,No,71,Yes,No,Month-to-month,No,Electronic check,83.87,6021.34,Yes
C00093,Female,0,Yes,No,20,Yes,Fiber optic,One year,No,Credit card (automatic),39.38,802.08,No
C00094,Female,0,Yes,Yes,69,No,Fiber optic,Month-to-month,No,Electronic check,60.57,4214.61,Yes
C00095,Female,0,Yes,No,56,Yes,DSL,One year,Yes,Mailed check,105.97,5939.24,No
C00096,Female,0,No,No,38,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),39.72,1488.81,Yes
C00097,Female,0,Yes,No,32,Yes,DSL,Month-to-month,No,Bank transfer (automatic),57.84,1869.43,No
C00098,Female,0,Yes,No,58,Yes,No,Month-to-month,Yes,Credit card (automatic),50.44,3005.06,No
C00099,Male,0,Yes,Yes,17,Yes,Fiber optic,One year,No,Electronic check,33.41,515.55,No
C00100,Male,0,No,Yes,55,Yes,No,Month-to-month,Yes,Electronic check,47.55,2636.22,Yes
C00101,Female,1,No,Yes,56,Yes,Fiber optic,Two year,No,Electronic check,41.74,2412.27,No
C00102,Female,1,Yes,Yes,47,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.21,5233.13,No
C00103,Female,1,Yes,No,41,Yes,DSL,Month-to-month,No,Credit card (automatic),93.59,3883.29,Yes
C00104,Female,1,No,Yes,26,Yes,Fiber optic,One year,No,Bank transfer (automatic),50.24,1352.4,No
C00105,Female,0,No,Yes,51,Yes,Fiber optic,Two year,No,Electronic check,95.86,4824.15,Yes
C00106,Female,0,No,Yes,41,Yes,Fiber optic,Month-to-month,No,Mailed check,20.26,886.18,No
C00107,Female,0,No,Yes,31,Yes,Fiber optic,One year,No,Bank transfer (automatic),71.71,2193.3,No
C00108,Female,0,No,No,25,Yes,DSL,Two year,Yes,Credit card (automatic),43.53,1106.19,No
C00109,Male,0,No,Yes,24,Yes,DSL,Two year,Yes,Electronic check,29.66,763.05,No
C00110,Female,0,No,No,22,Yes,No,One year,No,Mailed check,108.14,2439.08,No
C00111,Male,0,No,Yes,56,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),38.33,2069.69,Yes
C00112,Female,0,Yes,No,51,Yes,DSL,Month-to-month,No,Mailed check,101.88,5285.31,No
C00113,Female,0,Yes,No,30,Yes,Fiber optic,Two year,No,Mailed check,60.15,1875.4,No
C00114,Male,0,Yes,Yes,63,Yes,No,Month-to-month,No,Credit card (automatic),19.46,1278.58,No
C00115,Female,0,Yes,Yes,70,Yes,DSL,Two year,Yes,Bank transfer (automatic),92.72,6508.47,No
C00116,Male,0,Yes,Yes,32,Yes,No,Month-to-month,No,Credit card (automatic),78.83,2500.78,Yes
C00117,Female,1,Yes,Yes,1,Yes,No,Month-to-month,Yes,Electronic check,53.11,0.0,No
C00118,Female,0,No,No,17,Yes,No,One year,No,Mailed check,46.72,713.05,No
C00119,Male,0,No,No,46,Yes,No,Month-to-month,No,Credit card (automatic),25.52,1206.15,Yes
C00120,Female,1,Yes,Yes,32,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),114.03,3701.53,Yes
C00121,Male,1,Yes,Yes,34,Yes,Fiber optic,One year,No,Electronic check,68.39,2321.03,No
C00122,Female,1,No,No,50,No,DSL,One year,Yes,Bank transfer (automatic),26.72,1312.95,Yes
C00123,Male,0,No,Yes,17,Yes,DSL,One year,No,Credit card (automatic),106.61,1815.87,No
C00124,Male,0,No,No,71,Yes,Fiber optic,Month-to-month,No,Mailed check,46.44,3265.22,Yes
C00125,Female,0,Yes,Yes,29,Yes,Fiber optic,One year,No,Mailed check,38.77,1125.41,Yes
C00126,Female,0,No,No,43,Yes,DSL,Month-to-month,Yes,Mailed check,46.66,1971.49,No
C00127,Male,0,Yes,No,52,Yes,Fiber optic,Month-to-month,No,Mailed check,75.59,3961.28,Yes
C00128,Female,0,Yes,No,9,Yes,DSL,One year,Yes,Credit card (automatic),25.55,292.14,No
C00129,Female,0,No,No,51,Yes,No,Two year,No,Mailed check,67.14,3449.57,No
C00130,Female,0,No,No,48,Yes,DSL,Month-to-month,No,Credit card (automatic),109.37,5245.74,Yes
C00131,Male,0,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),37.19,421.36,Yes
C00132,Male,0,No,No,65,Yes,Fiber optic,Month-to-month,No,Mailed check,51.78,3366.65,No
C00133,Male,0,No,Yes,57,Yes,DSL,Month-to-month,No,Bank transfer (automatic),58.4,3376.67,Yes
C00134,Male,0,Yes,No,35,Yes,No,Month-to-month,Yes,Credit card (automatic),77.79,2690.84,Yes
C00135,Male,0,No,No,32,Yes,Fiber optic,Two year,Yes,Electronic check,111.76,3550.98,Yes
C00136,Male,1,Yes,Yes,46,Yes,DSL,Two year,Yes,Bank transfer (automatic),58.24,2629.6,No
C00137,Male,0,Yes,Yes,12,Yes,DSL,One year,No,Mailed check,25.05,277.33,No
C00138,Male,0,No,Yes,39,Yes,DSL,Month-to-month,Yes,Electronic check,53.49,2135.18,No
C00139,Male,0,Yes,Yes,67,Yes,DSL,One year,Yes,Bank transfer (automatic),37.39,2461.54,No
C00140,Female,0,Yes,No,41,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),84.48,3348.45,Yes
C00141,Male,0,No,Yes,18,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),20.98,356.91,No
C00142,Female,0,No,No,18,Yes,No,Month-to-month,Yes,Credit card (automatic),47.78,801.35,Yes
C00143,Female,0,No,Yes,57,Yes,Fiber optic,One year,No,Bank transfer (automatic),73.61,4170.55,No
C00144,Female,0,Yes,Yes,22,Yes,DSL,Two year,Yes,Credit card (automatic),46.29,1123.72,No
C00145,Male,1,Yes,No,53,Yes,DSL,Month-to-month,No,Bank transfer (automatic),74.2,3888.15,No
C00146,Male,0,No,No,64,No,Fiber optic,Month-to-month,Yes,Mailed check,29.7,1932.48,Yes
C00147,Male,0,Yes,Yes,11,Yes,DSL,Month-to-month,Yes,Mailed check,114.17,1251.86,Yes
C00148,Male,1,No,No,23,Yes,DSL,Two year,No,Bank transfer (automatic),47.67,1115.03,No
C00149,Female,1,No,No,33,No,No,Month-to-month,Yes,Bank transfer (automatic),112.15,3675.49,Yes
C00150,Male,0,Yes,No,52,Yes,DSL,Month-to-month,No,Electronic check,51.24,2722.55,No
C00151,Male,0,No,No,7,Yes,No,One year,Yes,Credit card (automatic),97.75,705.59,No
C00152,Male,0,Yes,No,17,Yes,DSL,Month-to-month,Yes,Mailed check,43.11,755.6,No
C00153,Male,0,Yes,No,56,Yes,No,Month-to-month,No,Mailed check,86.32,4838.86,Yes
C00154,Male,0,No,No,4,Yes,Fiber optic,Month-to-month,No,Electronic check,51.02,266.88,Yes
C00155,Female,0,Yes,No,25,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),69.93,1776.26,No
C00156,Male,0,No,Yes,29,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),86.73,2533.72,No
C00157,Female,1,Yes,No,53,Yes,No,Two year,Yes,Electronic check,78.07,4170.34,No
C00158,Male,1,Yes,Yes,12,Yes,No,One year,No,Credit card (automatic),76.78,833.36,Yes
C00159,Female,0,Yes,No,28,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),24.7,700.99,Yes
C00160,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),43.41,83.62,Yes
C00161,Male,0,Yes,No,57,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),76.33,4409.24,Yes
C00162,Female,0,No,No,1,Yes,DSL,Month-to-month,Yes,Credit card (automatic),19.87,0.0,Yes
C00163,Female,0,Yes,Yes,27,Yes,Fiber optic,Two year,No,Electronic check,43.57,1186.45,Yes
C00164,Female,0,Yes,Yes,1,Yes,No,Two year,Yes,Electronic check,41.38,137.57,No
C00165,Male,0,No,No,6,Yes,Fiber optic,Month-to-month,No,Electronic check,43.49,259.65,Yes
C00166,Female,0,No,Yes,25,Yes,DSL,Month-to-month,No,Bank transfer (automatic),72.63,1749.24,No
C00167,Male,0,No,No,15,Yes,Fiber optic,Month-to-month,Yes,Electronic check,77.36,1269.1,No
C00168,Male,0,No,No,22,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),110.72,2400.06,No
C00169,Female,0,No,Yes,39,Yes,DSL,One year,No,Mailed check,57.38,2185.83,No
C00170,Female,0,Yes,Yes,59,Yes,DSL,Month-to-month,Yes,Credit card (automatic),112.51,6588.07,No
C00171,Male,1,Yes,No,72,Yes,DSL,Two year,Yes,Credit card (automatic),84.5,6120.38,No
C00172,Male,0,No,No,31,Yes,Fiber optic,Month-to-month,Yes,Mailed check,111.09,3508.68,Yes
C00173,Female,0,Yes,Yes,14,Yes,DSL,One year,Yes,Electronic check,103.01,1530.16,No
C00174,Female,0,Yes,No,12,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),88.13,1058.33,No
C00175,Female,0,Yes,Yes,4,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),54.32,167.94,Yes
C00176,Male,0,No,No,51,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),42.59,2143.59,Yes
C00177,Male,0,Yes,No,40,Yes,No,Month-to-month,No,Credit card (automatic),40.68,1628.88,No
C00178,Male,0,Yes,Yes,52,Yes,DSL,Month-to-month,Yes,Electronic check,115.12,5985.18,No
C00179,Male,0,Yes,Yes,49,Yes,DSL,Two year,Yes,Bank transfer (automatic),115.77,5738.14,No
C00180,Male,1,No,Yes,14,Yes,No,Two year,Yes,Bank transfer (automatic),91.93,1221.14,No
C00181,Male,0,Yes,No,6,Yes,DSL,Two year,Yes,Bank transfer (automatic),108.15,593.13,No
C00182,Female,0,Yes,No,39,Yes,DSL,Two year,Yes,Mailed check,111.74,4342.37,No
C00183,Male,1,No,No,27,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.18,1913.32,No
C00184,Male,0,No,No,31,Yes,No,Two year,No,Mailed check,82.16,2524.83,No
C00185,Male,1,Yes,Yes,14,No,Fiber optic,Two year,Yes,Bank transfer (automatic),60.71,823.74,No
C00186,Female,0,Yes,No,69,Yes,DSL,Month-to-month,No,Bank transfer (automatic),60.69,4246.3,Yes
C00187,Male,0,No,No,64,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),21.92,1426.48,Yes
C00188,Male,0,No,No,3,No,DSL,Month-to-month,No,Mailed check,62.25,137.51,No
C00189,Female,0,No,Yes,10,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),86.7,841.51,Yes
C00190,Male,0,No,No,25,Yes,Fiber optic,Month-to-month,No,Electronic check,61.04,1551.84,Yes
C00191,Male,0,No,No,60,Yes,No,Two year,Yes,Bank transfer (automatic),106.99,6356.35,No
C00192,Male,0,No,Yes,36,Yes,DSL,Two year,Yes,Mailed check,51.92,1894.66,No
C00193,Male,0,No,No,22,Yes,Fiber optic,Month-to-month,Yes,Mailed check,31.53,676.47,No
C00194,Male,0,Yes,No,39,Yes,DSL,Month-to-month,Yes,Electronic check,100.78,3948.56,No
C00195,Female,1,No,Yes,22,Yes,DSL,Two year,Yes,Credit card (automatic),86.74,1914.27,No
C00196,Female,1,No,No,15,Yes,Fiber optic,One year,Yes,Electronic check,42.67,584.18,No
C00197,Female,1,Yes,No,60,Yes,DSL,Month-to-month,No,Electronic check,72.72,4331.37,No
C00198,Male,0,No,No,67,No,Fiber optic,One year,No,Mailed check,58.99,4024.7,No
C00199,Male,0,No,Yes,30,No,Fiber optic,Two year,No,Bank transfer (automatic),113.76,3531.37,Yes
C00200,Male,0,Yes,No,52,Yes,No,Two year,Yes,Bank transfer (automatic),79.95,4070.04,Yes
C00201,Female,0,No,No,24,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),34.16,872.0,No
C00202,Male,0,Yes,Yes,43,Yes,No,Month-to-month,No,Credit card (automatic),69.22,2991.24,No
C00203,Male,0,Yes,Yes,11,No,Fiber optic,Two year,Yes,Credit card (automatic),105.98,1269.89,No
C00204,Female,0,Yes,No,8,Yes,DSL,Month-to-month,Yes,Credit card (automatic),86.49,663.99,Yes
C00205,Male,0,Yes,No,11,Yes,Fiber optic,One year,Yes,Electronic check,103.93,1188.14,Yes
C00206,Female,0,No,No,68,Yes,Fiber optic,Month-to-month,No,Electronic check,43.54,2945.59,Yes
C00207,Female,0,Yes,No,53,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),108.61,5820.4,Yes
C00208,Female,0,Yes,Yes,53,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.07,5154.27,No
C00209,Male,1,No,No,27,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),92.35,2504.1,Yes
C00210,Male,0,Yes,Yes,55,Yes,DSL,Two year,No,Bank transfer (automatic),53.35,2877.3,No
C00211,Male,0,Yes,Yes,68,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),108.54,7451.41,Yes
C00212,Male,0,Yes,No,57,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),83.07,4763.26,No
C00213,Male,0,Yes,No,41,Yes,Fiber optic,Two year,No,Mailed check,104.89,4319.39,Yes
C00214,Male,0,No,Yes,37,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),54.82,2107.5,Yes
C00215,Male,0,Yes,Yes,67,Yes,Fiber optic,One year,Yes,Electronic check,32.86,2144.74,No
C00216,Female,0,No,No,52,Yes,DSL,Month-to-month,Yes,Electronic check,51.9,2662.99,No
C00217,Male,0,No,Yes,32,Yes,Fiber optic,One year,Yes,Electronic check,64.44,2091.79,No
C00218,Female,0,Yes,No,70,Yes,Fiber optic,One year,No,Electronic check,72.41,5031.78,No
C00219,Male,0,Yes,No,55,Yes,Fiber optic,Month-to-month,No,Mailed check,70.1,3839.7,No
C00220,Male,1,Yes,Yes,71,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),73.7,5296.44,No
C00221,Male,0,Yes,Yes,50,Yes,Fiber optic,One year,Yes,Credit card (automatic),103.85,5214.15,No
C00222,Female,0,No,No,42,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),35.35,1425.76,No
C00223,Female,1,No,Yes,14,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.24,723.76,No
C00224,Female,0,No,No,37,Yes,Fiber optic,One year,No,Electronic check,108.64,4081.63,No
C00225,Female,0,Yes,No,14,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.17,1060.96,Yes
C00226,Male,0,No,No,4,Yes,Fiber optic,Two year,Yes,Credit card (automatic),77.51,353.63,No
C00227,Female,0,Yes,Yes,53,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),66.76,3512.43,Yes
C00228,Male,1,Yes,No,50,Yes,Fiber optic,One year,Yes,Electronic check,74.0,3712.99,Yes
C00229,Male,0,Yes,No,9,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),38.2,264.96,Yes
C00230,Female,1,Yes,No,11,Yes,Fiber optic,One year,No,Mailed check,73.78,843.07,No
C00231,Female,0,Yes,No,3,Yes,DSL,Two year,No,Mailed check,119.71,377.14,No
C00232,Female,0,No,No,17,Yes,No,One year,Yes,Credit card (automatic),75.74,1223.07,Yes
C00233,Female,0,No,No,35,Yes,Fiber optic,One year,No,Credit card (automatic),22.53,864.59,No
C00234,Female,0,Yes,No,24,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.24,2410.32,No
C00235,Female,0,No,No,35,Yes,Fiber optic,Two year,No,Mailed check,58.44,2010.77,No
C00236,Female,1,Yes,No,66,Yes,DSL,One year,No,Mailed check,33.67,2255.03,No
C00237,Female,0,Yes,No,8,Yes,DSL,Two year,No,Electronic check,105.98,798.62,No
C00238,Male,1,Yes,No,60,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),38.19,2249.09,Yes
C00239,Female,0,No,Yes,52,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),111.92,5770.88,Yes
C00240,Female,1,Yes,No,17,Yes,No,Month-to-month,No,Electronic check,63.06,1021.61,No
C00241,Male,0,Yes,No,42,Yes,Fiber optic,Month-to-month,Yes,Mailed check,93.76,3959.8,Yes
C00242,Female,0,No,No,34,Yes,Fiber optic,Month-to-month,No,Electronic check,73.79,2513.59,Yes
C00243,Male,0,No,Yes,62,Yes,Fiber optic,Two year,No,Mailed check,44.18,2776.57,No
C00244,Male,0,No,No,3,Yes,DSL,One year,No,Bank transfer (automatic),86.45,118.37,No
C00245,Female,0,Yes,Yes,40,Yes,DSL,Two year,No,Mailed check,115.71,4608.82,No
C00246,Male,0,Yes,No,44,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.5,4227.13,Yes
C00247,Male,0,No,No,49,Yes,No,Month-to-month,No,Bank transfer (automatic),79.61,3903.52,Yes
C00248,Male,1,Yes,Yes,27,Yes,Fiber optic,Two year,Yes,Mailed check,119.04,3215.42,No
C00249,Male,0,No,No,41,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),45.06,1858.86,Yes
C00250,Female,0,No,Yes,68,Yes,No,Month-to-month,No,Mailed check,24.36,1660.92,Yes
C00251,Male,0,Yes,Yes,0,Yes,DSL,Two year,No,Bank transfer (automatic),21.28, ,Yes
C00252,Female,0,Yes,No,38,Yes,Fiber optic,Month-to-month,No,Electronic check,90.49,3418.64,Yes
C00253,Male,0,No,No,16,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),102.68,1640.24,No
C00254,Male,0,No,No,34,Yes,Fiber optic,Two year,Yes,Electronic check,82.78,2839.75,No
C00255,Male,0,No,No,45,Yes,DSL,Month-to-month,Yes,Mailed check,110.31,4968.2,No
